period_start,agent_id,provider_code,location,event_context,month_number,year_index,monthly_volume,is_injected_anomaly
2023-01-01T00:00:00Z,agent_01,bkash_sim,"Zindabazar, Sylhet",normal,1,0,108400,0
2023-01-01T00:00:00Z,agent_01,nagad_sim,"Zindabazar, Sylhet",normal,1,0,77200,0
2023-01-01T00:00:00Z,agent_01,rocket_sim,"Zindabazar, Sylhet",normal,1,0,82800,0
2023-01-01T00:00:00Z,agent_02,bkash_sim,"Ambarkhana, Sylhet",normal,1,0,107500,0
2023-01-01T00:00:00Z,agent_02,nagad_sim,"Ambarkhana, Sylhet",normal,1,0,89600,0
2023-01-01T00:00:00Z,agent_02,rocket_sim,"Ambarkhana, Sylhet",normal,1,0,75800,0
2023-01-01T00:00:00Z,agent_03,bkash_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,92900,0
2023-01-01T00:00:00Z,agent_03,nagad_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,114300,0
2023-01-01T00:00:00Z,agent_03,rocket_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,80500,0
2023-01-01T00:00:00Z,agent_04,bkash_sim,"Zindabazar, Sylhet",normal,1,0,134000,0
2023-01-01T00:00:00Z,agent_04,nagad_sim,"Zindabazar, Sylhet",normal,1,0,109100,0
2023-01-01T00:00:00Z,agent_04,rocket_sim,"Zindabazar, Sylhet",normal,1,0,69700,0
2023-01-01T00:00:00Z,agent_05,bkash_sim,"Ambarkhana, Sylhet",normal,1,0,91900,0
2023-01-01T00:00:00Z,agent_05,nagad_sim,"Ambarkhana, Sylhet",normal,1,0,100700,0
2023-01-01T00:00:00Z,agent_05,rocket_sim,"Ambarkhana, Sylhet",normal,1,0,88500,0
2023-01-01T00:00:00Z,agent_06,bkash_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,115200,0
2023-01-01T00:00:00Z,agent_06,nagad_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,108800,0
2023-01-01T00:00:00Z,agent_06,rocket_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,112900,0
2023-01-01T00:00:00Z,agent_07,bkash_sim,"Zindabazar, Sylhet",normal,1,0,89300,0
2023-01-01T00:00:00Z,agent_07,nagad_sim,"Zindabazar, Sylhet",normal,1,0,118300,0
2023-01-01T00:00:00Z,agent_07,rocket_sim,"Zindabazar, Sylhet",normal,1,0,94200,0
2023-01-01T00:00:00Z,agent_08,bkash_sim,"Ambarkhana, Sylhet",normal,1,0,139700,0
2023-01-01T00:00:00Z,agent_08,nagad_sim,"Ambarkhana, Sylhet",normal,1,0,114000,0
2023-01-01T00:00:00Z,agent_08,rocket_sim,"Ambarkhana, Sylhet",normal,1,0,89300,0
2023-01-01T00:00:00Z,agent_09,bkash_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,138700,0
2023-01-01T00:00:00Z,agent_09,nagad_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,131800,0
2023-01-01T00:00:00Z,agent_09,rocket_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,83000,0
2023-01-01T00:00:00Z,agent_10,bkash_sim,"Zindabazar, Sylhet",normal,1,0,84900,0
2023-01-01T00:00:00Z,agent_10,nagad_sim,"Zindabazar, Sylhet",normal,1,0,91200,0
2023-01-01T00:00:00Z,agent_10,rocket_sim,"Zindabazar, Sylhet",normal,1,0,91500,0
2023-01-01T00:00:00Z,agent_11,bkash_sim,"Ambarkhana, Sylhet",normal,1,0,111800,0
2023-01-01T00:00:00Z,agent_11,nagad_sim,"Ambarkhana, Sylhet",normal,1,0,114200,0
2023-01-01T00:00:00Z,agent_11,rocket_sim,"Ambarkhana, Sylhet",normal,1,0,89300,0
2023-01-01T00:00:00Z,agent_12,bkash_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,106100,0
2023-01-01T00:00:00Z,agent_12,nagad_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,111100,0
2023-01-01T00:00:00Z,agent_12,rocket_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,76900,0
2023-01-01T00:00:00Z,agent_13,bkash_sim,"Zindabazar, Sylhet",normal,1,0,112200,0
2023-01-01T00:00:00Z,agent_13,nagad_sim,"Zindabazar, Sylhet",normal,1,0,108800,0
2023-01-01T00:00:00Z,agent_13,rocket_sim,"Zindabazar, Sylhet",normal,1,0,74100,0
2023-01-01T00:00:00Z,agent_14,bkash_sim,"Ambarkhana, Sylhet",normal,1,0,114200,0
2023-01-01T00:00:00Z,agent_14,nagad_sim,"Ambarkhana, Sylhet",normal,1,0,109100,0
2023-01-01T00:00:00Z,agent_14,rocket_sim,"Ambarkhana, Sylhet",normal,1,0,101000,0
2023-01-01T00:00:00Z,agent_15,bkash_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,116900,0
2023-01-01T00:00:00Z,agent_15,nagad_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,96200,0
2023-01-01T00:00:00Z,agent_15,rocket_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,96600,0
2023-01-01T00:00:00Z,agent_16,bkash_sim,"Zindabazar, Sylhet",normal,1,0,125500,0
2023-01-01T00:00:00Z,agent_16,nagad_sim,"Zindabazar, Sylhet",normal,1,0,104300,0
2023-01-01T00:00:00Z,agent_16,rocket_sim,"Zindabazar, Sylhet",normal,1,0,94600,0
2023-01-01T00:00:00Z,agent_17,bkash_sim,"Ambarkhana, Sylhet",normal,1,0,91100,0
2023-01-01T00:00:00Z,agent_17,nagad_sim,"Ambarkhana, Sylhet",normal,1,0,108000,0
2023-01-01T00:00:00Z,agent_17,rocket_sim,"Ambarkhana, Sylhet",normal,1,0,81200,0
2023-01-01T00:00:00Z,agent_18,bkash_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,125500,0
2023-01-01T00:00:00Z,agent_18,nagad_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,131400,0
2023-01-01T00:00:00Z,agent_18,rocket_sim,"Shahjalal Uposhahar, Sylhet",normal,1,0,82400,0
2023-02-01T00:00:00Z,agent_01,bkash_sim,"Zindabazar, Sylhet",normal,2,0,92500,0
2023-02-01T00:00:00Z,agent_01,nagad_sim,"Zindabazar, Sylhet",normal,2,0,84200,0
2023-02-01T00:00:00Z,agent_01,rocket_sim,"Zindabazar, Sylhet",normal,2,0,99200,0
2023-02-01T00:00:00Z,agent_02,bkash_sim,"Ambarkhana, Sylhet",normal,2,0,114000,0
2023-02-01T00:00:00Z,agent_02,nagad_sim,"Ambarkhana, Sylhet",normal,2,0,110900,0
2023-02-01T00:00:00Z,agent_02,rocket_sim,"Ambarkhana, Sylhet",normal,2,0,88000,0
2023-02-01T00:00:00Z,agent_03,bkash_sim,"Shahjalal Uposhahar, Sylhet",normal,2,0,90700,0
2023-02-01T00:00:00Z,agent_03,nagad_sim,"Shahjalal Uposhahar, Sylhet",normal,2,0,127100,0
2023-02-01T00:00:00Z,agent_03,rocket_sim,"Shahjalal Uposhahar, Sylhet",normal,2,0,81400,0
2023-02-01T00:00:00Z,agent_04,bkash_sim,"Zindabazar, Sylhet",normal,2,0,139800,0
2023-02-01T00:00:00Z,agent_04,nagad_sim,"Zindabazar, Sylhet",normal,2,0,106300,0
2023-02-01T00:00:00Z,agent_04,rocket_sim,"Zindabazar, Sylhet",normal,2,0,77400,0
2023-02-01T00:00:00Z,agent_05,bkash_sim,"Ambarkhana, Sylhet",normal,2,0,88300,0
2023-02-01T00:00:00Z,agent_05,nagad_sim,"Ambarkhana, Sylhet",normal,2,0,89700,0
2023-02-01T00:00:00Z,agent_05,rocket_sim,"Ambarkhana, Sylhet",normal,2,0,84500,0
2023-02-01T00:00:00Z,agent_06,bkash_sim,"Shahjalal Uposhahar, Sylhet",normal,2,0,124500,0
2023-02-01T00:00:00Z,agent_06,nagad_sim,"Shahjalal Uposhahar, Sylhet",normal,2,0,128800,0
2023-02-01T00:00:00Z,agent_06,rocket_sim,"Shahjalal Uposhahar, Sylhet",normal,2,0,101000,0
2023-02-01T00:00:00Z,agent_07,bkash_sim,"Zindabazar, Sylhet",normal,2,0,97200,0
2023-02-01T00:00:00Z,agent_07,nagad_sim,"Zindabazar, Sylhet",normal,2,0,112400,0
2023-02-01T00:00:00Z,agent_07,rocket_sim,"Zindabazar, Sylhet",normal,2,0,92700,0
