provider_code,location,window_start,transaction_count,cash_out_count,cash_in_count,total_amount,average_amount,amount_standard_deviation,maximum_amount,failed_count,pending_count,is_injected_anomaly,cash_out_ratio,amount_coefficient_variation,log_total_amount,log_average_amount,cash_out_similarity_ratio,has_legitimate_surge,scenario_label,anomaly_score,requires_review
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 00:20:00+00:00,1,1,0,2550,2550.0,0.0,2550,0,0,0,1.0,0.0,7.844240718141811,7.844240718141811,0.0,0,normal,0.4663872807904669,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 00:30:00+00:00,1,0,1,2500,2500.0,0.0,2500,0,0,0,0.0,0.0,7.824445930877619,7.824445930877619,0.0,0,normal,0.4735492388694125,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 00:40:00+00:00,1,1,0,2100,2100.0,0.0,2100,0,0,0,1.0,0.0,7.650168700845001,7.650168700845001,0.0,0,normal,0.4674417441923198,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 00:50:00+00:00,1,1,0,2850,2850.0,0.0,2850,0,0,0,1.0,0.0,7.955425088912672,7.955425088912672,0.0,0,normal,0.46678699034145366,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 01:30:00+00:00,2,0,2,2050,1025.0,106.06601717798213,1100,0,0,0,0.0,0.10347904114925086,7.62608275807238,6.933423025730715,0.0,0,normal,0.4967815194697393,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 01:40:00+00:00,1,0,1,2250,2250.0,0.0,2250,0,0,0,0.0,0.0,7.719129840906732,7.719129840906732,0.0,0,normal,0.47179174991630507,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 02:00:00+00:00,2,1,1,7400,3700.0,989.9494936611666,4400,0,0,0,0.5,0.2675539172057207,8.909370405197466,8.216358332386156,0.0,0,normal,0.44808888849587813,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 02:10:00+00:00,2,1,1,5450,2725.0,883.8834764831844,3350,0,0,0,0.5,0.3243609088011686,8.603554357064281,7.9105906122564775,0.0,0,normal,0.4410060648769215,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 02:20:00+00:00,1,0,1,1500,1500.0,0.0,1500,0,0,0,0.0,0.0,7.313886831633462,7.313886831633462,0.0,0,normal,0.47980942886116945,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 02:40:00+00:00,1,0,1,3200,3200.0,0.0,3200,0,0,0,0.0,0.0,8.071218539969863,8.071218539969863,0.0,0,normal,0.47679323242440774,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 02:50:00+00:00,2,1,1,3400,1700.0,282.842712474619,1900,0,0,0,0.5,0.1663780661615406,8.131824785007195,7.438971592395862,0.0,0,normal,0.4496494686415382,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 03:00:00+00:00,1,1,0,1850,1850.0,0.0,1850,0,0,0,1.0,0.0,7.523481312573497,7.523481312573497,0.0,0,normal,0.4686172262668414,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 03:10:00+00:00,1,1,0,800,800.0,0.0,800,0,0,0,1.0,0.0,6.68586094706836,6.68586094706836,0.0,0,normal,0.5101261581122777,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 04:20:00+00:00,1,1,0,900,900.0,0.0,900,0,0,0,1.0,0.0,6.803505257608338,6.803505257608338,0.0,0,normal,0.5065059784862845,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 04:40:00+00:00,1,1,0,3050,3050.0,0.0,3050,0,0,0,1.0,0.0,8.02322468471667,8.02322468471667,0.0,0,normal,0.4693875126737992,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 05:00:00+00:00,1,1,0,1100,1100.0,0.0,1100,0,0,0,1.0,0.0,7.00397413672268,7.00397413672268,0.0,0,normal,0.49264480684610534,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 06:00:00+00:00,1,1,0,1550,1550.0,0.0,1550,0,0,0,1.0,0.0,7.346655163176539,7.346655163176539,0.0,0,normal,0.4746357231455671,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 06:10:00+00:00,1,1,0,4400,4400.0,0.0,4400,0,0,0,1.0,0.0,8.38958706681109,8.38958706681109,0.0,0,normal,0.4828046483261526,False
bkash_sim,"Ambarkhana, Sylhet",2026-07-08 06:30:00+00:00,2,2,0,4100,2050.0,494.9747468305833,2400,0,0,0,1.0,0.24145109601491868,8.31898612539206,7.62608275807238,0.0,0,normal,0.47131689038131847,False
